country,y,val_district_ann_agg,k_growth_coef,k_growth_coef_pct,index,users,new_users,sessions,bounce_rate,page_session,avg_session_dur,users_visitors_ratio
Norway,2021,1,0.5,-50,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Other African States,2017,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Other African States,2018,1,0.5,-50,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Other African States,2019,48,48,4700,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Other American countries,2017,10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Other American countries,2018,12,1.2,20,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Other American countries,2019,6,0.5,-50,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Other American countries,2020,4,0.666666667,-33.33,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Other American countries,2021,2,0.5,-50,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Other Asian States,2017,11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Other Asian States,2018,11,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Other Asian States,2019,18,1.636363636,63.64,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Other Asian States,2021,9,0.5,-50,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Other European countries,2017,79,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Other European countries,2018,35,0.443037975,-55.7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Other European countries,2019,9,0.257142857,-74.29,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Poland,2017,4440,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Poland,2018,7520,1.693693694,69.37,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Poland,2019,6776,0.90106383,-9.89,13,327,323,358,0.639664804,2.209497207,83.89664804,21
Poland,2020,3132,0.462219599,-53.78,10,458,454,525,0.72952381,1.780952381,66.66285714,7
Poland,2021,1196,0.381864623,-61.81,22,119,116,133,0.661654135,1.84962406,37.5037594,10
Portugal,2017,30,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Portugal,2018,34,1.133333333,13.33,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Portugal,2019,15,0.441176471,-55.88,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Portugal,2021,1,0.066666667,-93.33,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Qatar,2018,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Romania,2017,304,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Romania,2018,143,0.470394737,-52.96,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Romania,2019,218,1.524475524,52.45,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Romania,2020,39,0.178899083,-82.11,34,57,54,64,0.859375,1.46875,83.3125,1
Romania,2021,17,0.435897436,-56.41,75,16,15,17,0.705882353,1.588235294,71.52941176,1
