cat,dd,val_districts_country,k_growth_coef,k_growth_coef_pct
Belgium (Prenocovania),20180601,46,2.19047619,119.05
Belgium (Prenocovania),20180701,258,5.608695652,460.87
Belgium (Prenocovania),20180801,213,0.825581395,-17.44
Belgium (Prenocovania),20180901,107,0.502347418,-49.77
Belgium (Prenocovania),20181001,26,0.242990654,-75.7
Belgium (Prenocovania),20181101,4,0.153846154,-84.62
Belgium (Prenocovania),20181201,11,2.75,175
Belgium (Prenocovania),20190101,11,1,0
Belgium (Prenocovania),20190201,1,0.090909091,-90.91
Belgium (Prenocovania),20190301,7,7,600
Belgium (Prenocovania),20190401,8,1.142857143,14.29
Belgium (Prenocovania),20190501,9,1.125,12.5
Belgium (Prenocovania),20190601,50,5.555555556,455.56
Belgium (Prenocovania),20190701,911,18.22,1722
Belgium (Prenocovania),20190801,380,0.41712404,-58.29
